date,open,high,low,close,volume,adj_close
2008-12-01,286.68,329.5,262.58,307.65,5267900,307.65
2008-11-03,357.58,372.36,247.3,292.96,8452500,292.96
2008-10-01,411.15,416.98,309.44,359.36,8987700,359.36
2008-09-02,476.77,482.18,380.71,400.52,6531600,400.52
2008-08-01,472.51,510.66,461.9,463.29,3460100,463.29
2008-07-01,519.58,555.68,465.6,473.75,4861400,473.75
2008-06-02,582.5,588.04,515.09,526.42,4645200,526.42
2008-05-01,578.31,602.45,537.81,585.8,5136000,585.8
2008-04-01,447.74,584.86,441,574.29,6861200,574.29
2008-03-03,471.51,472.72,412.11,440.47,7503000,440.47
2008-02-01,528.67,541.04,446.85,471.18,9330500,471.18
2008-01-02,692.87,697.37,519,564.3,8221900,564.3
2007-12-03,691.01,724.8,652.5,691.48,4384500,691.48
2007-11-01,702.79,747.24,616.02,693,8539500,693
2007-10-01,569.97,707,569.61,707,7057700,707
2007-09-04,515.02,571.79,510.88,567.27,3792200,567.27
2007-08-01,510.5,526.82,480.46,515.25,3985700,515.25
2007-07-02,525.49,558.58,498.88,510,5757200,510
2007-06-01,501,534.99,497.59,522.7,6329900,522.7
2007-05-01,472.19,508.78,457.41,497.91,4932000,497.91
2007-04-02,457.76,492.5,452.12,471.38,4829900,471.38
2007-03-01,442.67,466,437,458.16,5522500,458.16
2007-02-01,506,506.01,443.04,449.45,6418200,449.45
2007-01-03,466,513,461.11,501.5,6839600,501.5
2006-12-01,485.98,492.4,452.34,460.48,4711100,460.48
2006-11-01,478.76,513,465.06,484.81,5905600,484.81
2006-10-02,401.9,491.96,398.19,476.39,7490800,476.39
2006-09-01,380.99,418.69,376.72,401.9,6243100,401.9
2006-08-01,385.11,390,363.36,378.53,4779600,378.53
2006-07-03,420.04,427.89,377.69,386.6,6605800,386.6
2006-06-01,373.54,419.33,371.6,419.33,6756300,419.33
2006-05-01,418.47,419.44,360.57,371.82,8360000,371.82
2006-04-03,389.53,450.72,387.93,417.94,10143900,417.94
2006-03-01,368.56,399,331.55,390,14925400,390
2006-02-01,389.03,406.5,337.83,362.62,17734800,362.62
2006-01-03,422.52,475.11,394.74,432.66,16055300,432.66
